// file containing all PCM Synth Partial waveforms SRX12
"EPtype1 pp A"
"EPtype1 pp B"
"EPtype1 pp C"
"EPtype1 ppV1"
"EPtype1 ppV2"
"EPtype1 ppV3"
"EPtype1 ppV4"
"EPtype1 mp A"
"EPtype1 mp B"
"EPtype1 mp C"
"EPtype1 mpV1"
"EPtype1 mpV2"
"EPtype1 mpV3"
"EPtype1 mpV4"
"EPtype1 f A"
"EPtype1 f B"
"EPtype1 f C"
"EPtype1 f V1"
"EPtype1 f V2"
"EPtype1 f V3"
"EPtype1 f V4"
"EPtype1 ff A"
"EPtype1 ff B"
"EPtype1 ff C"
"EPtype1 ffV1"
"EPtype1 ffV2"
"EPtype1 ffV3"
"EPtype1 ffV4"
"EPtype2 pp A"
"EPtype2 pp B"
"EPtype2 pp C"
"EPtype2 ppV1"
"EPtype2 ppV2"
"EPtype2 ppV3"
"EPtype2 ppV4"
"EPtype2 mp A"
"EPtype2 mp B"
"EPtype2 mp C"
"EPtype2 mpV1"
"EPtype2 mpV2"
"EPtype2 mpV3"
"EPtype2 mpV4"
"EPtype2 f A"
"EPtype2 f B"
"EPtype2 f C"
"EPtype2 f V1"
"EPtype2 f V2"
"EPtype2 f V3"
"EPtype2 f V4"
"EPtype2 ff A"
"EPtype2 ff B"
"EPtype2 ff C"
"EPtype2 ffV1"
"EPtype2 ffV2"
"EPtype2 ffV3"
"EPtype2 ffV4"
"EPtype3 pp A"
"EPtype3 pp B"
"EPtype3 pp C"
"EPtype3 ppV1"
"EPtype3 ppV2"
"EPtype3 ppV3"
"EPtype3 ppV4"
"EPtype3 mp A"
"EPtype3 mp B"
"EPtype3 mp C"
"EPtype3 mpV1"
"EPtype3 mpV2"
"EPtype3 mpV3"
"EPtype3 mpV4"
"EPtype3 f A"
"EPtype3 f B"
"EPtype3 f C"
"EPtype3 f V1"
"EPtype3 f V2"
"EPtype3 f V3"
"EPtype3 f V4"
"EPtype3 ff A"
"EPtype3 ff B"
"EPtype3 ff C"
"EPtype3 ffV1"
"EPtype3 ffV2"
"EPtype3 ffV3"
"EPtype3 ffV4"
"Clav CA mp A"
"Clav CA mp B"
"Clav CA mp C"
"Clav CA f A"
"Clav CA f B"
"Clav CA f C"
"Clav CA ff A"
"Clav CA ff B"
"Clav CA ff C"
"Clav CB mp A"
"Clav CB mp B"
"Clav CB mp C"
"Clav CB f A"
"Clav CB f B"
"Clav CB f C"
"Clav CB ff A"
"Clav CB ff B"
"Clav CB ff C"
"Clav DA mp A"
"Clav DA mp B"
"Clav DA mp C"
"Clav DA f A"
"Clav DA f B"
"Clav DA f C"
"Clav DA ff A"
"Clav DA ff B"
"Clav DA ff C"
"Clav DB mp A"
"Clav DB mp B"
"Clav DB mp C"
"Clav DB f A"
"Clav DB f B"
"Clav DB f C"
"Clav DB ff A"
"Clav DB ff B"
"Clav DB ff C"
"ClvMtCA mp A"
"ClvMtCA mp B"
"ClvMtCA mp C"
"ClvMt CA f A"
"ClvMt CA f B"
"ClvMt CA f C"
"ClvMtCB mp A"
"ClvMtCB mp B"
"ClvMtCB mp C"
"ClvMt CB f A"
"ClvMt CB f B"
"ClvMt CB f C"
"ClvMtDA mp A"
"ClvMtDA mp B"
"ClvMtDA mp C"
"ClvMt DA f A"
"ClvMt DA f B"
"ClvMt DA f C"
"ClvMtDB mp A"
"ClvMtDB mp B"
"ClvMtDB mp C"
"ClvMt DB f A"
"ClvMt DB f B"
"ClvMt DB f C"
"ClvMtRsCA pA"
"ClvMtRsCA pB"
"ClvMtRsCA pC"
"ClvMtRsCA fA"
"ClvMtRsCA fB"
"ClvMtRsCA fC"
"ClvMtRsCB pA"
"ClvMtRsCB pB"
"ClvMtRsCB pC"
"ClvMtRsCB fA"
"ClvMtRsCB fB"
"ClvMtRsCB fC"
"ClvMtRsDA pA"
"ClvMtRsDA pB"
"ClvMtRsDA pC"
"ClvMtRsDA fA"
"ClvMtRsDA fB"
"ClvMtRsDA fC"
"ClvMtRsDB pA"
"ClvMtRsDB pB"
"ClvMtRsDB pC"
"ClvMtRsDB fA"
"ClvMtRsDB fB"
"ClvMtRsDB fC"
