// file containing all PCM Synth Partial waveforms SRX10
"PopBrs mfA L"
"PopBrs mfA R"
"PopBrs mfB L"
"PopBrs mfB R"
"PopBrs mfC L"
"PopBrs mfC R"
"PopBrs f A L"
"PopBrs f A R"
"PopBrs f B L"
"PopBrs f B R"
"PopBrs f C L"
"PopBrs f C R"
"PopStc mfA L"
"PopStc mfA R"
"PopStc mfB L"
"PopStc mfB R"
"PopStc mfC L"
"PopStc mfC R"
"PopStc f A L"
"PopStc f A R"
"PopStc f B L"
"PopStc f B R"
"PopStc f C L"
"PopStc f C R"
"PopBrsRipA L"
"PopBrsRipA R"
"PopBrsRipB L"
"PopBrsRipB R"
"PopBrsRipC L"
"PopBrsRipC R"
"PopFlSht A L"
"PopFlSht A R"
"PopFlSht B L"
"PopFlSht B R"
"PopFlSht C L"
"PopFlSht C R"
"PopFlLng A L"
"PopFlLng A R"
"PopFlLng B L"
"PopFlLng B R"
"PopFlLng C L"
"PopFlLng C R"
"Tps mf A L"
"Tps mf A R"
"Tps mf B L"
"Tps mf B R"
"Tps mf C L"
"Tps mf C R"
"Tps f A L"
"Tps f A R"
"Tps f B L"
"Tps f B R"
"Tps f C L"
"Tps f C R"
"Tps Stc mfAL"
"Tps Stc mfAR"
"Tps Stc mfBL"
"Tps Stc mfBR"
"Tps Stc mfCL"
"Tps Stc mfCR"
"Tps Stc f AL"
"Tps Stc f AR"
"Tps Stc f BL"
"Tps Stc f BR"
"Tps Stc f CL"
"Tps Stc f CR"
"Tps Mute A L"
"Tps Mute A R"
"Tps Mute B L"
"Tps Mute B R"
"Tps Mute C L"
"Tps Mute C R"
"Tps MtStc AL"
"Tps MtStc AR"
"Tps MtStc BL"
"Tps MtStc BR"
"Tps MtStc CL"
"Tps MtStc CR"
"Tps RipFl AL"
"Tps RipFl AR"
"Tps RipFl BL"
"Tps RipFl BR"
"Tps RipFl CL"
"Tps RipFl CR"
"Tps RipCp AL"
"Tps RipCp AR"
"Tps RipCp BL"
"Tps RipCp BR"
"Tps RipCp CL"
"Tps RipCp CR"
"Tps Fall A L"
"Tps Fall A R"
"Tps Fall B L"
"Tps Fall B R"
"Tps Fall C L"
"Tps Fall C R"
"Tps Shake AL"
"Tps Shake AR"
"Tps Shake BL"
"Tps Shake BR"
"Tps Shake CL"
"Tps Shake CR"
"Tps Doit A L"
"Tps Doit A R"
"Tps Doit B L"
"Tps Doit B R"
"Tps Doit C L"
"Tps Doit C R"
"C Tps mp A L"
"C Tps mp A R"
"C Tps mp B L"
"C Tps mp B R"
"C Tps mp C L"
"C Tps mp C R"
"C Tps mf A L"
"C Tps mf A R"
"C Tps mf B L"
"C Tps mf B R"
"C Tps mf C L"
"C Tps mf C R"
"C Tps f A L"
"C Tps f A R"
"C Tps f B L"
"C Tps f B R"
"C Tps f C L"
"C Tps f C R"
"CTpsStc mpAL"
"CTpsStc mpAR"
"CTpsStc mpBL"
"CTpsStc mpBR"
"CTpsStc mpCL"
"CTpsStc mpCR"
"CTpsStc mfAL"
"CTpsStc mfAR"
"CTpsStc mfBL"
"CTpsStc mfBR"
"CTpsStc mfCL"
"CTpsStc mfCR"
"CTpsStc f AL"
"CTpsStc f AR"
"CTpsStc f BL"
"CTpsStc f BR"
"CTpsStc f CL"
"CTpsStc f CR"
"CTps Trit AL"
"CTps Trit AR"
"CTps Trit BL"
"CTps Trit BR"
"CTps Trit CL"
"CTps Trit CR"
"Tbs mp A L"
"Tbs mp A R"
"Tbs mp B L"
"Tbs mp B R"
"Tbs mp C L"
"Tbs mp C R"
"Tbs mf A L"
"Tbs mf A R"
"Tbs mf B L"
"Tbs mf B R"
"Tbs mf C L"
"Tbs mf C R"
"Tbs f A L"
"Tbs f A R"
"Tbs f B L"
"Tbs f B R"
"Tbs f C L"
"Tbs f C R"
"Tbs Stc mfAL"
"Tbs Stc mfAR"
"Tbs Stc mfBL"
"Tbs Stc mfBR"
"Tbs Stc mfCL"
"Tbs Stc mfCR"
"Tbs Stc f AL"
"Tbs Stc f AR"
"Tbs Stc f BL"
"Tbs Stc f BR"
"Tbs Stc f CL"
"Tbs Stc f CR"
"Tbs Fall A L"
"Tbs Fall A R"
"Tbs Fall B L"
"Tbs Fall B R"
"Tbs Fall C L"
"Tbs Fall C R"
"Tbs Rip A L"
"Tbs Rip A R"
"Tbs Rip B L"
"Tbs Rip B R"
"Tbs Rip C L"
"Tbs Rip C R"
"Horns mp A L"
"Horns mp A R"
"Horns mp B L"
"Horns mp B R"
"Horns mp C L"
"Horns mp C R"
"Horns mf A L"
"Horns mf A R"
"Horns mf B L"
"Horns mf B R"
"Horns mf C L"
"Horns mf C R"
"Horns f A L"
"Horns f A R"
"Horns f B L"
"Horns f B R"
"Horns f C L"
"Horns f C R"
"HrnsStc mpAL"
"HrnsStc mpAR"
"HrnsStc mpBL"
"HrnsStc mpBR"
"HrnsStc mpCL"
"HrnsStc mpCR"
"HrnsStc mfAL"
"HrnsStc mfAR"
"HrnsStc mfBL"
"HrnsStc mfBR"
"HrnsStc mfCL"
"HrnsStc mfCR"
"HrnsStc f AL"
"HrnsStc f AR"
"HrnsStc f BL"
"HrnsStc f BR"
"HrnsStc f CL"
"HrnsStc f CR"
"Hrns Rip A L"
"Hrns Rip A R"
"Hrns Rip B L"
"Hrns Rip B R"
"Hrns Rip C L"
"Hrns Rip C R"
"Tuba mf A"
"Tuba mf B"
"Tuba mf C"
"Tuba f A"
"Tuba f B"
"Tuba f C"
"Tuba Stc mpA"
"Tuba Stc mpB"
"Tuba Stc mpC"
"Tuba Stc mfA"
"Tuba Stc mfB"
"Tuba Stc mfC"
"Tuba Stc f A"
"Tuba Stc f B"
"Tuba Stc f C"
"Brs LipNz1 L"
"Brs LipNz1 R"
"Brs LipNz2 L"
"Brs LipNz2 R"
"Brs LipNz3 L"
"Brs LipNz3 R"
"Tp LipNz 1 L"
"Tp LipNz 1 R"
"Tp LipNz 2 L"
"Tp LipNz 2 R"
"CTp Lip Nz L"
"CTp Lip Nz R"
