// file containing all PCM Synth Partial waveforms SRX08
"Phrase MENU1"
"Phrase MENU2"
"Phrase MENU3"
"61:Slow Grv"
"75:BoomRvBel"
"76:TrpHpKikn"
"78:NinjaBrek"
"80:Thump Grv"
"80:MetalHead"
"81:Ringn Kit"
"83:Big & Bad"
"83:HmBeatBx1"
"83:Poing Snr"
"85:Homie"
"85:Snr Wall"
"86:Street 16"
"86:Bubbles"
"88:TrenchTwn"
"88:Cut Hats"
"88:Yo!"
"88:Crackl'n"
"88:HmBeatBx2"
"89:BuzyFunky"
"89:Slamn'Grv"
"90:Swingn"
"90:NoizyBoys"
"90:Swingdirt"
"91:NotopHpHp"
"91:Cruis'n"
"91:Uptown"
"91:BigBeauty"
"92:Jazzman"
"92:Overring"
"92:Boom Town"
"92:Too Big"
"94:Ya Mon"
"95:Head Bobn"
"95:Pure Phat"
"96:PlainJane"
"96:Jane 2"
"98:Funkster1"
"98:Funkster2"
"104:BigBottm"
"104:Respect"
"104:Riddim"
"108:Gargle"
"Phrase MENU4"
"120:House 1"
"120:House 2"
"120:House 3"
"120:TeknoBNG"
"144:Tekno BD"
"144:TeknoHAT"
"160:Drum'nBs"
"184:Gabba"
"132:Detroit"
"132:Agogo"
"116:Elect'80"
"120:Electro1"
"138:Electro2"
"DrumLp MENU1"
"DrumLp MENU2"
"125:Basic 1"
"125:Basic 2"
"125:ClpMania"
"125:LowToEnd"
"125:LivZone1"
"125:LivZone2"
"125:LivZone3"
"125:LivZone4"
"125:LivZone5"
"125:LpFabric"
"125:PuristcL"
"125:PuristcR"
"125:FullHous"
"125:4thFloor"
"125:Front"
"125:Fatbrett"
"125:FatTrck1"
"125:FatTrck2"
"125:BsWorx 1"
"125:BsWorx 2"
"125:Mid Beat"
"125:Offbt HH"
"Perc.Lp MENU 1"
"125:Tamb Man"
"125:AccntShk"
"125:DoublShk"
"125:Ganza"
"125:Triangle"
"125:Conga L"
"125:Conga R"
"125:ToneCong"
"125:StpBongo"
"125:FullBrzl"
"Pf/Key MENU"
"116:HousePf1"
"116:HousePf2"
"116:HousePf3"
"116:HousePf4"
"116:Pf&Str 1"
"116:Pf&Str 2"
"116:Pf&Str 3"
"125:E-Groove"
"125:SlowWah1"
"125:SlowWah2"
"Dry Chord D#"
"Dry Chord C#"
"Dry Chord F"
"House Organ"
"SubmarineSin"
"ShortStrings"
"Gtr/Bs MENU"
"125:OpenStr1"
"125:OpenStr2"
"125:WahMute1"
"125:WahMute2"
"125:BendLick"
"125:Dry Funk"
"JUNO Bass 1"
"JUNO Bass Lp"
"Moogish"
"JUNO Bass 2"
"JUNO Bs 2 Lp"
"Big Saw Bass"
"Big SawBs 2"
"JUNO Sine Bs"
"Octa Bass"
"Rave Bass"
"FM Pluck Bs"
"FM Slide Bs"
"Solid Bass"
"JUNO-60 Bass"
"SH-5 Bass"
"Dirty Bass"
"Sub Bass"
"Jungle Bass"
"Bass Gliss"
"Bass Sustain"
"Bass Short"
"Bass Slide"
"Bass Down"
"Bass Slap"
"Hard Attack"
"Square Low"
"JUNO 60 Buzz"
"JUNO Pulse 5"
"Funky JUNO"
"Mellow JUNO"
"JUNO Strings"
"JUNO Str Lp"
"Lo-Fi RoomTp"
"JP8000 Saw 1"
"JP8000 Saw 2"
"JP-6 Saw"
"Techno Saw"
"TB Saw"
"TB Dst Saw"
"TB Solid Saw"
"TB Reso Saw"
"SH-1 Square"
"TB Square 1"
"TB Square 2"
"TB Square 3"
"Dist Square"
"TB Dst Sqr 1"
"TB Dst Sqr 2"
"TB Reso Sqr1"
"TB Reso Sqr2"
"TB Reso Sqr3"
"SH-1 Pulse"
"JP8000 PWM"
"JP8000 FBK"
"260 Sub OSC"
"Dist Synth"
"P5 Pipe"
"FM Garage"
"JUNO Pluck"
"Funky Synth"
"JUNO Bowing"
"JUNO Synth"
"JX Synth"
"Alpha Wave"
"Killer"
"Detuned Saw"
"Fat JP-6"
"Euro Dance"
"Noisy 101"
"Daft Wave"
"JP Siren"
"Cold Dress"
"Pizzy Techno"
"Organ Pizz"
"Garage Org"
"FM Club Org"
"Org Chord"
"Org EP"
"Lo-Fi Wurly"
"Pure EP"
"Ac Piano1 A"
"Ac Piano1 B"
"Ac Piano1 C"
"Dist TekGtr1"
"Dist TekGtr2"
"Dist Gtr Chd"
"GTR FX MENU"
"Gtr FX MENU"
"Wah Gtr Lp 1"
"Wah Gtr Lp 2"
"Wah Gtr A"
"Wah Gtr B"
"D.GtrUpwhine"
"Gtr Thumper"
"Hit MENU 1"
"Hit MENU 2"
"Brass Fall 2"
"Smear Hit 1"
"Smear Hit 2"
"LoFi MinorHt"
"BrassVox Hit"
"Brass Hit Lp"
"Mean Brs Hit"
"Sax Lick 1"
"Sax Lick 2"
"Sax Cry"
"Sax Blast"
"Sax Blast Lp"
"HipHop Alarm"
"Cuica Hit"
"Breath Hit"
"Bauw Hit"
"ClassicHseHt"
"JUNO Blip 1"
"JUNO Blip 2"
"Sci-Fi 2"
"Slice of Trp"
"Rattle Hit"
"P.Phatt Hit"
"BD Scratch"
"SD Scratch"
"Tape Stop 2"
"BasicScratch"
"Scratch Loop"
"Record Noiz"
"Hit MENU 3"
"Hit MENU 4"
"Beam HiQ"
"Analog Bird"
"ElectronFall"
"Retro UFO"
"Jungle Beep"
"PC-2 Machine"
"Dr.Beat"
"Mental Perc"
"May Day Perc"
"PC-2 Spacers"
"Techno Scene"
"Pure Psycho"
"TAO Hit"
"Thin Beef"
"Organ Hit 2"
"Hit MENU 5"
"Hit & Drum"
"Stop Hit"
"Horny-Hit"
"Mute Trumpet"
"Panic"
"INDUST. MENU"
"PCM Press"
"ElectricDunk"
"Thrill"
"Drill Hit"
"MachineShout"
"Air Gun"
"Emergency"
"Buzzer"
"Tonality"
"EFX Tom Lp"
"Hip Hop Ride"
"P5 Noise 3"
"Toy Gun 1"
"Toy Gun 2"
"GeigerCountr"
"GlassBreakLp"
"Voice MENU 1"
"Voice MENU 2"
"Voice MENU 3"
"Voice MENU 4"
"Voice MENU 5"
"1,2,3,4"
"Kick it!"
"Come on!"
"Funky!"
"Crazy!"
"DJ!"
"Go!"
"Stop!"
"Good Eve"
"Yeah!"
"Dirty Laugh"
"Female Laugh"
"Ow!"
"Pretty Aou!"
"Singing Ahh"
"Oh Yeah!"
"Hoo!"
"Say Yeah!"
"Scream!"
"Baby!"
"Get on Up"
"MC!"
"Give it Up"
"Canvas Laugh"
"Uuha"
"Whouw"
"Eh"
"Oh !"
"Ahhhhhh 1"
"Ahhhhhh 2"
"Breath"
"Get Off"
"Get On 1"
"Get Up"
"Get On 2"
"Dance"
"Do It !"
"Jam !"
"House Music"
"Come On"
"Oh No !"
"Oh Yes !"
"Alright"
"It's MyHouse"
"Higher"
"Everybody"
"Ouhouhooohou"
"Tic"
"Tac"
"Tigidi"
"Tac Tac"
"Auu"
"VOCODER MENU"
"Aah Formant"
"Eeh Formant"
"Iih Formant"
"Ooh Formant"
"Uuh Formant"
"Dist Ooh Vox"
"Talkbox"
"CricketChoir"
"Wild Ways"
"Psychedelics"
"Taj Mahal"
"Ghandi Drone"
"Enigmatic"
"Cleansing"
"Frost Byte"
"Iceland"
"Columns"
"Effervescent"
"Transolia"
"Voyage"
"Frontiers"
"Cruising"
"Tunnel Rain"
"Rumble Rain"
"Bombay"
"Black Den"
"Husky Chord"
"Phantasm"
"Fumes"
"Temptation"
"Creepy 1"
"Creepy 2"
"Elves"
"Fireflies"
"CrystalWaves"
"Electroshock"
"Snowflakes"
"Steel Spires"
"Rise Up!"
"Sea Whistle"
"Lava Flow"
"Sparkling"
"Fuse"
"Turntable"
"UK Station"
"ChinaStation"
"Crowding"
"Nasalnoise"
"Gnashing"
"Construction"
"Construct. 2"
"Turbine"
"Scraping"
"Vacuum Pump"
"Sawing"
"Air Pump"
"Soda Water"
"CompresStart"
"CompresStop"
"Jack Hammer"
"Propeller"
"Neon Hum"
"Buzz Hum"
"Tcashe Hum"
"Oil Can Bow"
"Crank Shaft"
"Snarls"
"Feed Me!"
"Fuzzy Love"
"Bad Dreams"
"Dark Buzzord"
"SqualorDrone"
"Air Raid!"
"180:CyberToy"
"150:PhoneFrq"
"160:Clockers"
"Phlange Hit"
"Ring Bass"
"Ring Bass Lp"
"Orc.Cluster"
"Harpin'Piano"
"RollingChime"
"Thin Bells"
"FX Bell 3"
"Rave Stopper"
"MachineNoise"
"Gate Keeper"
"FootStepping"
"Droppin'"
"P-Zing"
"Rubberized"
"Pipe"
"Boing"
"Metal Bang"
"MetallicShot"
"Doorsqweek"
"Tomnoise"
"Steam Blow"
"Let Air Go!"
"Screetchy 1"
"Screetchy 2"
"Tubuloid"
"Slicer"
"Fuzzclapz"
"Brakes!"
"Fire Snare"
"Back Snatch"
"Phone"
"Sh.Burst"
"Blasto Kick"
"O.D.Kick"
"Bowl Drop"
"Cavern Tube"
"Fireball"
"Firebomb"
"Firework"
"Hothead"
"Metalicous"
"Cluster Slam"
"Pit Hit"
"Big Stinger"
"Mondo Blast"
"Ignite!"
"Heat Seeker"
"Missile"
"Fly-By"
"Psycho Alert"
"Distressed"
"Afro Cheer"
"Kick MENU 1"
"Kick MENU 2"
"BeatBox Kick"
"BeatBox Hat"
"BeatBox Snr1"
"BeatBox Snr2"
"BeatBox Rim"
"BeatBox Kik2"
"BeatBox Perc"
"B.Box Shaker"
"Chiki!"
"Ahhhhhh"
"B.Box OpHat"
"Jungle Kick"
"Hip Kick"
"Ninja Kick"
"Break Kick"
"Funky Kick"
"Slamn'Kick 1"
"Too Big Kick"
"Boom Kick"
"FarNear Kick"
"Slamn'Kick 2"
"Hall Kick 1"
"Dance Kick 4"
"Thump Kick"
"PurePhatKick"
"Hall Kick 2"
"Plastic Kick"
"ElectricKick"
"TR808 KickLp"
"TR707 Kick 3"
"Lo-Fi Kick"
"Kick MENU 3"
"Kick MENU 4"
"TR909 Kick 1"
"TR909 Kick 2"
"Plastic BD 1"
"Plastic BD 2"
"TR808 Kick 1"
"TR808 Kick 2"
"TR808 Kick 3"
"TR606 Kick 1"
"TR606 Kick 2"
"TR707 Kick 1"
"TR707 Kick 2"
"Culture Kick"
"Optic Kick"
"Lo-Fi BD"
"Wet Kick"
"Video Kick"
"JungleKick 1"
"Street Kick"
"Turbo Kick"
"JungleKick 2"
"Tekno Kick"
"Sim Kick"
"Amsterdam BD"
"TR909 Dst BD"
"Roll Kick"
"Kick MENU 5"
"Kick MENU 6"
"Punchy K 1"
"Punchy K 2"
"Direct K"
"Tone K"
"Dynamic K"
"Clone K"
"Noizzy 909 K"
"Bottom 909 K"
"Sub & Noiz K"
"Open Cut K"
"Short Dry K"
"Medium K2"
"Hicut K"
"Full Range K"
