// file containing all PCM Synth Partial waveforms SRX07
"StGrand L pA"
"StGrand R pA"
"StGrand L pB"
"StGrand R pB"
"StGrand L pC"
"StGrand R pC"
"StGrand L fA"
"StGrand R fA"
"StGrand L fB"
"StGrand R fB"
"StGrand L fC"
"StGrand R fC"
"SApiano 3"
"E.Grand BdyA"
"E.Grand BdyB"
"E.Grand BdyC"
"E.Grand 1A"
"E.Grand 1B"
"E.Grand 1C"
"Suitcase p A"
"Suitcase p B"
"Suitcase p C"
"Suitcase mfA"
"Suitcase mfB"
"Suitcase mfC"
"Suitcase f A"
"Suitcase f B"
"Suitcase f C"
"Stage p A"
"Stage p B"
"Stage p C"
"Stage f A"
"Stage f B"
"Stage f C"
"70'EP 5 A p"
"70'EP 5 B p"
"70'EP 5 C p"
"70'EP 5 A f"
"70'EP 5 B f"
"70'EP 5 C f"
"70'EP Bs p A"
"70'EP Bs p B"
"70'EP Bs p C"
"70'EP Bs f A"
"70'EP Bs f B"
"70'EP Bs f C"
"Wurly 1 p A"
"Wurly 1 p B"
"Wurly 1 p C"
"Wurly 1 mf A"
"Wurly 1 mf B"
"Wurly 1 mf C"
"Wurly 1 f A"
"Wurly 1 f B"
"Wurly 1 f C"
"Wurly 2 p A"
"Wurly 2 p B"
"Wurly 2 p C"
"Wurly 2 mf A"
"Wurly 2 mf B"
"Wurly 2 mf C"
"Wurly 2 f A"
"Wurly 2 f B"
"Wurly 2 f C"
"Pnet p A"
"Pnet p B"
"Pnet p C"
"Pnet f A"
"Pnet f B"
"Pnet f C"
"R.Chord A"
"R.Chord B"
"R.Chord C"
"'70s Piano A"
"'70s Piano B"
"'70s PianoLp"
"'70s Lute A"
"'70s Lute B"
"'70s Lute Lp"
"Vibraphone A"
"Vibraphone B"
"Vibraphone C"
"Clav Pluck A"
"Clav Pluck B"
"Clav Pluck C"
"Ch.Clav A"
"Ch.Clav B"
"Ch.Clav C"
"Clav 1 A"
"Clav 1 B"
"Clav 1 C"
"Clav 2 A"
"Clav 2 B"
"Clav 2 C"
"Clav 3 p A"
"Clav 3 p B"
"Clav 3 p C"
"Clav 3 f A"
"Clav 3 f B"
"Clav 3 f C"
"Clav 4 p A"
"Clav 4 p B"
"Clav 4 p C"
"Clav 4 mf A"
"Clav 4 mf B"
"Clav 4 mf C"
"Clav 4 f A"
"Clav 4 f B"
"Clav 4 f C"
"Clav 5 p A"
"Clav 5 p B"
"Clav 5 p C"
"Clav 5 f A"
"Clav 5 f B"
"Clav 5 f C"
"Clav 6 p A"
"Clav 6 p B"
"Clav 6 p C"
"Clav 6 f A"
"Clav 6 f B"
"Clav 6 f C"
"Clav 7 A"
"Clav 7 B"
"Clav 7 C"
"Clav Mute 1A"
"Clav Mute 1B"
"Clav Mute 1C"
"Clav Mute 2A"
"Clav Mute 2B"
"Clav Mute 2C"
"Clav Attack"
"B3 1 A"
"B3 1 B"
"B3 1 C"
"B3 2 A"
"B3 2 B"
"B3 2 C"
"B3 2 Ch A"
"B3 2 Ch B"
"B3 2 Ch C"
"B3 2 FL A"
"B3 2 FL B"
"B3 2 FL C"
"B3 3 A"
"B3 3 B"
"B3 3 C"
"B3 3 FL A"
"B3 3 FL B"
"B3 3 FL C"
"B3 4"
"B3 5 A"
"B3 5 B"
"B3 5 C"
"B3 6 A"
"B3 6 B"
"B3 6 C"
"B3 7 A"
"B3 7 B"
"B3 7 C"
"B3 7 FL A"
"B3 7 FL B"
"B3 7 FL C"
"B3 8 A"
"B3 8 B"
"B3 8 C"
"B3 8 Ch A"
"B3 8 Ch B"
"B3 8 Ch C"
"B3 8 FL A"
"B3 8 FL B"
"B3 8 FL C"
"B3 9"
"B3 10 A"
"B3 10 B"
"B3 10 C"
"B3 10 Ch A"
"B3 10 Ch B"
"B3 10 Ch C"
"B3 10 FL A"
"B3 10 FL B"
"B3 10 FL C"
"B3 11"
"B3 12"
"B3 13"
"B3 14 A"
"B3 14 B"
"B3 14 C"
"B3 14 Ch A"
"B3 14 Ch B"
"B3 14 Ch C"
"B3 14 FL A"
"B3 14 FL B"
"B3 14 FL C"
"B3 15 A"
"B3 15 B"
"B3 15 C"
"B3 15 Ch A"
