// file containing all PCM Synth Partial waveforms SRX09
"World Tour"
"Korean Ens"
"Morocco Ens"
"African Ens"
"Asia Phrase"
"122:GamelnP1"
"78:GamelnP2"
"78:Korea Ph"
"118:ChinaPh1"
"132:ChinaPh2"
"118:TablaByP"
"92:DholakPh"
"120:Dhol Ph"
"96:Salsa"
"116:Mariachi"
"96:Cumbia"
"192:LatinPt1"
"180:LatinPt2"
"96:Cng6/8 1"
"96:Cng6/8 2"
"144:CgBolero"
"168:CgChacha"
"88:CgCumbia"
"160:CgMambo"
"104:CgMriach"
"138:CgMarinr"
"126:CgWonwn"
"132:TmblPtn1"
"132:TmblPtn2"
"100:TmblPtn3"
"120:TmblPtn4"
"104:Shakin'"
"80:PndrPtn1"
"108:PndrPtn2"
"138:PndrPtn3"
"132:AgogoPtn"
"132:BotlePtn"
"104:BomboPtn"
"126:SurdoPt1"
"108:SurdoPt2"
"138:CaixaPtn"
"132:TambrmPt"
"108:RepnqPt1"
"144:RepnqPt2"
"Samba MENU"
"BnjoPhs Menu"
"120:Bnjo G"
"120:Bnjo A"
"120:Bnjo B"
"120:Bnjo Cm"
"120:Bnjo Cm+"
"120:Bnjo G-C"
"120:BnjoG-C+"
"EG Phs Menu1"
"95:EGtr1 G"
"95:EGtr1 C"
"95:EGtr1 D"
"95:EGtr2 G"
"95:EGtr2 D"
"EG Phs Menu2"
"140:EGtr3 G+"
"140:EGtr3 G"
"140:EGtr3 C+"
"140:EGtr3 C"
"140:EGtr3 D+"
"140:EGtr3 D"
"PdlSteelMenu"
"120:PdSt1 C"
"120:PdSt1 D"
"120:PdSt1 G"
"140:PdSt2 D"
"140:PdSt2 D+"
"140:PdSt2 G"
"140:PdSt2 G+"
"E.Gtr Sus A"
"E.Gtr Sus B"
"E.Gtr Sus C"
"Strat Rear A"
"Strat Rear B"
"Strat Rear C"
"LP Clean A"
"LP Clean B"
"LP Clean C"
"Tele Front A"
"Tele Front B"
"Tele Front C"
"Tele Rear A"
"Tele Rear B"
"Tele Rear C"
"335Pick A"
"335Pick B"
"335Pick C"
"E.Gtr Mute A"
"E.Gtr Mute B"
"E.Gtr Mute C"
"335Mute A"
"335Mute B"
"335Mute C"
"PdlSteel 1 A"
"PdlSteel 1 B"
"PdlSteel 1 C"
"PdlSteel 2 A"
"PdlSteel 2 B"
"PdlSteel 2 C"
"PdlSteel 3 A"
"PdlSteel 3 B"
"PdlSteel 3 C"
"RequintoGtrA"
"RequintoGtrB"
"RequintoGtrC"
"Nylon Gtr 3A"
"Nylon Gtr 3B"
"Nylon Gtr 3C"
"AcGtr Pick A"
"AcGtr Pick B"
"AcGtr Pick C"
"AcGtr Fngr A"
"AcGtr Fngr B"
"AcGtr Fngr C"
"Ac.Guitar A"
"Ac.Guitar B"
"Ac.Guitar C"
"Reso.Gtr 2 A"
"Reso.Gtr 2 B"
"Reso.Gtr 2 C"
"Reso.Gtr 3pA"
"Reso.Gtr 3pB"
"Reso.Gtr 3pC"
"Reso.Gtr 3fA"
"Reso.Gtr 3fB"
"Reso.Gtr 3fC"
"MandolinDn A"
"MandolinDn B"
"MandolinDn C"
"MandolinUp A"
"MandolinUp B"
"MandolinUp C"
"MandlnTrem A"
"MandlnTrem B"
"MandlnTrem C"
"Banjo 2 A"
"Banjo 2 B"
"Banjo 2 C"
"Banjo 3 A"
"Banjo 3 B"
"Banjo 3 C"
"Bouzouki 2fA"
"Bouzouki 2fB"
"Bouzouki 2fC"
"Bandolim"
"Cavaquinho"
"Oud A"
"Oud B"
"Oud C"
"Sitar/Drone"
"Sitar A"
"Sitar B"
"Sitar C"
"Sitar 2 A"
"Sitar 2 B"
"Sitar 2 C"
"SitarDrone"
"Tambura A"
"Tambura B"
"Tambura C"
"TamburaDrone"
"Zither A"
"Zither B"
"Zither C"
"Santur 2 A"
"Santur 2 B"
"Santur 2 C"
"Santur Trm A"
"Santur Trm B"
"Santur Trm C"
"HmrDulcimer"
"Afro Zither"
"Yuehchin"
"Yangchin"
"Yang Qin 2 A"
"Yang Qin 2 B"
"Yang Qin 2 C"
"YangQinTrm A"
"YangQinTrm B"
"YangQinTrm C"
"Chung Ruan A"
"Chung Ruan B"
"Chung Ruan C"
"Gu Zheng A"
"Gu Zheng B"
"Gu Zheng C"
"Kanoun"
"Koto"
"Kayakeum"
"Sanshin A"
"Sanshin B"
"Sanshin C"
"Pi Pa A"
"Pi Pa B"
"Pi Pa C"
"Biwa MENU"
"Biwa 1"
"Biwa 2"
"Biwa 3"
"Shamisen 2"
"Shami Attack"
"BerimbauMENU"
"Berimbau Opn"
"Berimbau Up"
"Berimbau Dn"
"Berimbau Mut"
"Oct Harp"
"Afro Harp"
"JawHarp MENU"
"Jaw Harp Opn"
"Jaw Harp Wow"
"Gtr Strum 1"
"Gtr Strum 2"
"Nyln GtrNz 1"
"Nyln GtrNz 2"
"Guitarron Nz"
"EG Bend Menu"
"EG C Bend 1"
"EG C Bend 2"
"EG D Bend 1"
"EG D Bend 2"
"EG D Bend 3"
"EG E Bend 1"
"EG E Bend 2"
"EG E Bend 3"
"EG SlideMenu"
"EG Slide 1"
"EG Slide 2"
"EG Slide 3"
"EG Slide 4"
"EG Slide 5"
"EG Slide 6"
"EG Slide 7"
"EG Fx Menu"
"EG Rake 1"
"EG Rake 2"
"EG Mute"
"BzkiChd Menu"
"Bouzki Chd 1"
"Bouzki Chd 2"
"Bouzki Chd 3"
"Sitar Gliss"
"GuZhengArpUp"
"GuZhengArpDn"
"Baby Bass ff"
"6Str Bass A"
"6Str Bass B"
"6Str Bass C"
"FingerdBs 2A"
"FingerdBs 2B"
"FingerdBs 2C"
"Pick Bass 2"
"6StBs Mute A"
"6StBs Mute B"
"6StBs Mute C"
"Tub Bass"
"Guitarron"
"GuitarronOct"
"Baby Bass Nz"
"Violin 2 A"
"Violin 2 B"
"Violin 2 C"
"Fiddle 1 A"
"Fiddle 1 B"
"Fiddle 1 C"
"Fiddle 2 A"
"Fiddle 2 B"
"Fiddle 2 C"
"Fdl Pizz 1 A"
"Fdl Pizz 1 B"
"Fdl Pizz 1 C"
"Fdl Stac 1 A"
"Fdl Stac 1 B"
"Fdl Stac 1 C"
"Erhu"
"Er Hu 2 A"
"Er Hu 2 B"
"Er Hu 2 C"
"Esraj 1"
"Esraj 2"
"Kemanche"
"FiddleFxMenu"
"Fdl 5th 1"
"Fdl 5th 2"
"Fdl Riff 6"
"Fdl Riff 8"
"Er Hu Phrase"
"Trumpets f A"
"Trumpets f B"
"Trumpets f C"
"Tp Ambient A"
"Tp Ambient B"
"Tp Ambient C"
"SoloTp Vib1A"
"SoloTp Vib1B"
"SoloTp Vib1C"
"SoloTp Vib2A"
"SoloTp Vib2B"
"SoloTp Vib2C"
"Tp RomanticA"
"Tp RomanticB"
"Tp RomanticC"
"Tp Vib MariA"
"Tp Vib MariB"
"Tp Vib MariC"
"Tp Shake A"
"Tp Shake B"
"Tp Shake C"
"Tp Grrwah A"
"Tp Grrwah B"
"Tp Grrwah C"
"MuteTp 2 A"
"MuteTp 2 B"
"MuteTp 2 C"
"Tbns ff A"
"Tbns ff B"
"Tbns ff C"
"Fat Tbns A"
"Fat Tbns B"
"Fat Tbns C"
"Tbn Accent A"
"Tbn Accent B"
"Tbn Accent C"
"Trombone3mfA"
"Trombone3mfB"
"Trombone3mfC"
"Trombone3 fA"
"Trombone3 fB"
"Trombone3 fC"
"Tbn Alto A"
"Tbn Alto B"
"Tbn Alto C"
"Tuba f A"
"Tuba f B"
"Tuba f C"
"2Tp+Tbn A"
"2Tp+Tbn B"
"2Tp+Tbn C"
"2Tp+TbAltTnA"
"2Tp+TbAltTnB"
"2Tp+TbAltTnC"
"Sect Fall A"
"Sect Fall B"
"Sect Fall C"
"Sect Stact A"
"Sect Stact B"
"Sect Stact C"
"SectChd 13th"
"SectChd m9"
"SectChd Mj9"
"IndFlute L A"
"IndFlute L B"
"IndFlute L C"
"IndFlute H A"
"IndFlute H B"
"IndFlute H C"
"Bang Di A"
"Bang Di B"
"Bang Di C"
"BangDi Vib A"
"BangDi Vib B"
"BangDi Vib C"
"Qu Di A"
"Qu Di B"
"Qu Di C"
"Qu Di Vib A"
"Qu Di Vib B"
"Qu Di Vib C"
"Zampona 1"
"Zampo Attack"
"Zampo Trem A"
"Zampo Trem B"
"Zampo Trem C"
"Sicu Pipe"
"Quena"
"Ocarina"
"Kawala A"
"Kawala B"
"Kawala C"
"Shakuhachi 2"
"Shaku Attack"
"Shaku Ornam"
"Hunt Pipe"
"Hunt Noise"
"Bagpipes 1"
"Bagpipes 2"
"Bagpipes 3"
"Bagpipes 4"
"Hichiriki"
"Hichiriki Lp"
"Sheng A"
"Sheng B"
