//sn drum partial wave forms
"241: Helicopter 2 R"
"242: Helicopter 3 L"
"243: Helicopter 3 R"
"244: Starship 1 L>R"
"245: Starship 1 R>L"
"246: Starship 2 L>R"
"247: Starship 2 R>L"
"248: Starship 3 L>R"
"249: Starship 3 R>L"
"250: Gun Shot 1"
"251: Gun Shot 2"
"252: Gun Shot 3"
"253: Machine Gun 1"
"254: Machine Gun 2"
"255: Machine Gun 3"
"256: Laser Gun 1"
"257: Laser Gun 2"
"258: Laser Gun 3"
"259: Explosion 1"
"260: Explosion 2"
"261: Explosion 3"
"262: Dog 1"
"263: Dog 2"
"264: Dog 3"
"265: Dog 4"
"266: Horse 1 L>R"
"267: Horse 1 R>L"
"268: Horse 2 L>R"
"269: Horse 2 R>L"
"270: Horse 3 L>R"
"271: Horse 3 R>L"
"272: Birds 1"
"273: Birds 2"
"274: Rain 1"
"275: Rain 2"
"276: Thunder 1"
"277: Thunder 2"
"278: Thunder 3"
"279: Wind"
"280: Seashore"
"281: Stream 1"
"282: Stream 2"
"283: Bubbles 1"
"284: Bubbles 2"
"285: Burst 1"
"286: Burst 2"
"287: Burst 3"
"288: Burst 4"
"289: Glass Burst 1"
"290: Glass Burst 2"
"291: Glass Burst 3"
"292: Telephone 1"
"293: Telephone 2"
"294: Telephone 3"
